Cultura,Area_m2,Insumo_L
Soja,20.0,30.0
Café,600.0,0.4
Café,2500.0,7.5
Soja,2827.4333882308138,56.54866776461627
Soja,7853.981633974483,471.23889803846896
Café,5544.0,5.94
Soja,11309.733552923255,622.035345410779
Soja,30790.74959783356,1847.4449758700136
Café,3630.0,5.28
Soja,22698.006922186254,1021.4103114983815
Café,1920.0,0.45
Soja,1256.6370614359173,50.2654824574367
Soja,11309.733552923255,622.035345410779
Café,5320.0,1.4
Café,4284.0,4.704
Soja,11309.733552923255,463.69907566985347
Café,2040.0,3.2
Café,2400.0,3.6
Soja,2827.4333882308138,141.3716694115407
Soja,13684.77759903714,437.91288316918843
Soja,9503.317777109125,19.00663555421825
Soja,314.1592653589793,1.5707963267948968
Café,1600.0,4.8
